title,room_type,property_type,bedrooms,accommodates,bathrooms,reviews,rating,days_available,img_cover,occ,revenue
Chic Hopatcong Lakefront Cottage Retreat~BeachDock,Entire home/apt,Cottage,2,6,1.0,137,9.6,257,https://a0.muscache.com/im/pictures/45958366/72ec343e_original.jpg?aki_policy=x_large,permission_denied,permission_denied
Lakefront cottage in quiet cove on Cranberry Lake!,Entire home/apt,Home,1,6,1.0,115,10.0,315,https://a0.muscache.com/im/pictures/2675b664-4d81-458f-b16e-d0bdebba30bd.jpg?aki_policy=x_large,permission_denied,permission_denied
Little Red Cabin,Entire home/apt,Cabin,2,4,1.0,297,9.9,214,https://a0.muscache.com/im/pictures/miso/Hosting-25779515/original/06618bbe-9d5d-4171-9baa-33159e327fa0.jpeg?aki_policy=x_large,permission_denied,permission_denied
Rustic Hopatcong Cottage,Entire home/apt,Chalet,3,6,2.0,161,9.8,228,https://a0.muscache.com/im/pictures/1c199688-2941-44b1-aa64-56a29ce91183.jpg?aki_policy=x_large,permission_denied,permission_denied
"Spacious apartment close to Sparta, Perona, Newton",Entire home/apt,Rental unit,3,4,1.0,132,9.8,275,https://a0.muscache.com/im/pictures/c102b361-f481-41e3-b2ec-f43596f2010d.jpg?aki_policy=x_large,permission_denied,permission_denied
"Private studio close to Sparta, Perona, Newton",Entire home/apt,Rental unit,1,2,1.0,155,9.9,288,https://a0.muscache.com/im/pictures/4f07b950-f3dd-4338-9f3b-da5351a9b22a.jpg?aki_policy=x_large,permission_denied,permission_denied
Secluded 1st Floor Guest Quarter In An Estate Home,Private room,Home,1,2,1.5,38,10.0,120,https://a0.muscache.com/im/pictures/347fcdfb-65dc-4366-b389-083d6622727d.jpg?aki_policy=x_large,permission_denied,permission_denied
"Scape the city, work from paradise",Entire home/apt,Home,4,8,2.0,21,9.6,211,https://a0.muscache.com/im/pictures/a759f62a-9ae4-4f77-9eda-616e4910aeb6.jpg?aki_policy=x_large,permission_denied,permission_denied
"Lake house - prime location , dock , deep water",Entire home/apt,Home,3,5,2.0,18,10.0,279,https://a0.muscache.com/im/pictures/dd6f93fd-1014-4067-bccc-1bbb82577e64.jpg?aki_policy=x_large,permission_denied,permission_denied
Luxurious and Spacious Home with Private Pool,Entire home/apt,Home,5,12,3.5,3,10.0,231,https://a0.muscache.com/im/pictures/50835056-00a0-4246-bee6-3431c25c8078.jpg?aki_policy=x_large,permission_denied,permission_denied
BEAUTIFUL 3-BEDROOM WATERFRONT LAKEHOUSE,Entire home/apt,Home,3,10,1.5,29,9.0,265,https://a0.muscache.com/im/pictures/miso/Hosting-51320781/original/ad3dbbb3-3e77-40b8-96e1-3c3601d6a15d.jpeg?aki_policy=x_large,permission_denied,permission_denied
Ultimate Lake House,Entire home/apt,Villa,5,4,5.5,0,,61,https://a0.muscache.com/im/pictures/20404d66-4af3-43f4-9664-cb2cc1878e29.jpg?aki_policy=x_large,permission_denied,permission_denied
